customer,age,regionType,marriageStatus,children,income,numHandsets,handsetAge,smartPhone,currentHandsetPrice,creditRating,homeOwner,creditCard,avgBill,avgMins,avgrecurringCharge,avgOverBundleMins,avgRoamCalls,callMinutesChangePct,billAmountChangePct,avgReceivedMins,avgOutCalls,avgInCalls,peakOffPeakRatio,peakOffPeakRatioChangePct,avgDroppedCalls,lifeTime,lastMonthCustomerCareCalls,numRetentionCalls,numRetentionOffersAccepted,newFrequentNumbers,churn
1086402,60.0,rural,yes,True,9,1,355,True,0.0,C,False,True,37.49,533.25,47.49,0.0,0.0,-7.385,-0.05,8.12,27.33,3.67,0.547152723,29.77167891,46.0,12,0.0,0,0,0,1
1067845,50.0,,unknown,False,4,1,272,True,0.0,B,False,True,38.26,180.25,39.99,0.0,0.0,-0.185,-0.0054,54.46,0.67,0.67,0.542266667,6.161535257000001,3.67,9,1.67,0,0,0,0
1094266,,,unknown,False,0,2,164,True,129.99,E,True,False,106.7,1345.0,49.99,152.5,0.0,2.64,-0.4668,277.53,12.0,3.0,1.433975543,8.891843934,14.33,9,4.33,0,0,0,1
1033808,42.0,town,unknown,False,8,1,555,True,0.0,B,False,True,55.87,280.25,44.99,19.5,12.33,-1.725,-0.3474,16.11,9.0,3.0,4.265666372,-3.0932446610000004,2.33,18,0.0,0,0,0,0
1077686,58.0,suburban,no,False,7,2,35,True,149.99,D,False,True,133.19,1179.25,44.99,241.25,10.86,-3.745,-0.0574,302.81,62.0,10.0,0.829583372,-7.664130282,28.67,7,4.33,0,0,0,1
1076334,44.0,,no,False,1,1,332,True,0.0,B,False,False,135.43,1869.75,60.11,238.0,0.84,-20.555,-2.7086,415.69,178.0,101.67,0.69542954,-18.84004821,95.0,11,5.0,0,0,0,1
1057402,,,unknown,False,0,1,333,False,0.0,D,True,False,67.25,1215.0,59.99,64.5,0.0,2.52,0.7296,271.78,67.33,47.67,1.040644591,14.66698221,126.33,11,10.33,0,0,0,0
1071265,54.0,suburban,no,False,8,1,358,True,0.0,B,False,True,55.45,570.25,39.99,72.75,0.0,-0.705,-0.2502,0.0,0.0,0.0,0.0,-2.740516618,0.0,12,0.0,0,0,0,1
1022560,48.0,,yes,False,3,3,154,True,149.99,D,False,True,117.43,758.25,34.98,141.25,14.62,18.995,4.7386,156.08,13.67,19.33,1.254930082,-4.125287838,7.33,27,0.33,0,0,2,1
1053884,,,unknown,False,0,2,76,True,29.99,G,True,False,49.99,362.25,49.99,0.0,0.0,-0.065,0.0,91.46,21.0,8.33,1.427605341,1.545968538,9.33,14,0.0,0,0,0,0
1019257,38.0,suburban,unknown,True,5,1,749,True,0.0,B,False,True,30.46,41.0,29.99,0.0,0.47,0.48,-0.0094,1.15,0.0,0.0,3.603603604,3.5896201060000004,1.67,25,0.0,0,0,0,0
1053571,,suburban,unknown,False,0,2,270,True,149.99,D,True,False,161.55,1939.0,67.62,253.5,0.0,-13.46,-1.6464,809.12,124.67,49.33,0.7602626259999999,23.62841938,42.33,18,3.0,0,0,0,0
